STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.6  1.00  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.43333333333333335  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.6  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  6.510416666666667e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00013020833333333333  0.020  0.000  0.010  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0001953125  0.020  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00026041666666666666  0.020  0.040  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.000390625  0.060  0.010  0.030  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0005208333333333333  0.060  0.020  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0007161458333333333  0.040  0.060  0.020  ['CT', 'RT', 'ART']
2  0.8  0.00  0.00078125  0.040  0.100  0.020  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0008463541666666667  0.140  0.060  0.040  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0010416666666666667  0.080  0.040  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0013671875  0.020  0.080  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0014322916666666666  0.160  0.060  0.080  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0016276041666666667  0.100  0.140  0.100  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0029296875  0.160  0.160  0.080  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0032552083333333335  0.180  0.240  0.160  ['CT', 'RT', 'ART']
2  0.8  0.00  0.0039713541666666664  0.160  0.280  0.180  ['CT', 'RT', 'ART']
2  0.8  0.25  0.00041118421052631577  0.020  0.020  0.000  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0008223684210526315  0.110  0.020  0.050  ['CT', 'ART']
2  0.8  0.25  0.0012335526315789473  0.040  0.020  0.040  ['CT', 'RT', 'ART']
2  0.8  0.25  0.001644736842105263  0.160  0.060  0.100  ['CT', 'RT', 'ART']
2  0.8  0.25  0.0024671052631578946  0.150  0.090  0.110  ['CT', 'RT', 'ART']
2  0.8  0.25  0.003289473684210526  0.340  0.120  0.120  ['CT']
2  0.8  0.25  0.004523026315789474  0.220  0.160  0.140  ['CT', 'RT', 'ART']
2  0.8  0.25  0.004934210526315789  0.280  0.180  0.280  ['CT', 'RT', 'ART']
2  0.8  0.25  0.005345394736842105  0.240  0.220  0.280  ['CT', 'RT', 'ART']
2  0.8  0.25  0.006578947368421052  0.220  0.220  0.280  ['CT', 'RT', 'ART']
2  0.8  0.25  0.008634868421052632  0.400  0.260  0.360  ['CT', 'RT', 'ART']
2  0.8  0.25  0.009046052631578948  0.440  0.300  0.400  ['CT', 'RT', 'ART']
2  0.8  0.25  0.010279605263157895  0.460  0.340  0.360  ['CT', 'RT', 'ART']
2  0.8  0.25  0.01850328947368421  0.820  0.420  0.660  ['CT', 'ART']
2  0.8  0.25  0.02055921052631579  0.840  0.420  0.720  ['CT', 'ART']
2  0.8  0.25  0.025082236842105265  0.900  0.540  0.720  ['CT', 'ART']
2  0.8  0.50  0.0012690355329949238  0.100  0.040  0.100  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0025380710659898475  0.100  0.080  0.060  ['CT', 'RT', 'ART']
2  0.8  0.50  0.0038071065989847717  0.280  0.120  0.240  ['CT', 'RT', 'ART']
2  0.8  0.50  0.005076142131979695  0.420  0.200  0.240  ['CT', 'ART']
2  0.8  0.50  0.007614213197969543  0.370  0.250  0.280  ['CT', 'RT', 'ART']
2  0.8  0.50  0.01015228426395939  0.540  0.180  0.400  ['CT', 'ART']
2  0.8  0.50  0.013959390862944163  0.740  0.320  0.500  ['CT']
2  0.8  0.50  0.015228426395939087  0.680  0.340  0.500  ['CT', 'ART']
2  0.8  0.50  0.01649746192893401  0.680  0.400  0.520  ['CT', 'ART']
2  0.8  0.50  0.02030456852791878  0.700  0.400  0.760  ['CT', 'ART']
2  0.8  0.50  0.0266497461928934  0.920  0.480  0.700  ['CT']
2  0.8  0.50  0.027918781725888325  0.920  0.640  0.760  ['CT', 'ART']
2  0.8  0.50  0.031725888324873094  0.960  0.660  0.820  ['CT', 'ART']
2  0.8  0.50  0.05710659898477157  1.000  0.800  0.960  ['CT', 'ART']
2  0.8  0.50  0.06345177664974619  1.000  0.760  0.940  ['CT', 'ART']
2  0.8  0.50  0.07741116751269035  1.000  0.900  0.980  ['CT', 'ART']
2  0.8  0.75  0.002976190476190476  0.100  0.140  0.200  ['CT', 'RT', 'ART']
2  0.8  0.75  0.005952380952380952  0.430  0.120  0.310  ['CT', 'ART']
2  0.8  0.75  0.008928571428571428  0.320  0.360  0.380  ['CT', 'RT', 'ART']
2  0.8  0.75  0.011904761904761904  0.500  0.280  0.540  ['CT', 'ART']
2  0.8  0.75  0.017857142857142856  0.670  0.470  0.660  ['CT', 'ART']
2  0.8  0.75  0.023809523809523808  0.680  0.580  0.820  ['CT', 'ART']
2  0.8  0.75  0.03273809523809524  0.880  0.660  0.920  ['CT', 'ART']
2  0.8  0.75  0.03571428571428571  0.880  0.740  0.960  ['CT', 'ART']
2  0.8  0.75  0.03869047619047619  0.940  0.800  0.940  ['CT', 'RT', 'ART']
2  0.8  0.75  0.047619047619047616  0.980  0.880  0.920  ['CT', 'RT', 'ART']
2  0.8  0.75  0.0625  1.000  0.880  1.000  ['CT', 'ART']
2  0.8  0.75  0.06547619047619048  1.000  0.880  0.980  ['CT', 'ART']
2  0.8  0.75  0.0744047619047619  1.000  0.920  1.000  ['CT', 'ART']
2  0.8  0.75  0.13392857142857142  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.1488095238095238  1.000  0.940  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.18154761904761904  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.011627906976744186  0.340  0.320  0.460  ['CT', 'RT', 'ART']
2  0.8  1.00  0.023255813953488372  0.620  0.420  0.570  ['CT', 'ART']
2  0.8  1.00  0.03488372093023256  0.580  0.680  0.840  ['RT', 'ART']
2  0.8  1.00  0.046511627906976744  0.780  0.660  0.860  ['CT', 'ART']
2  0.8  1.00  0.06976744186046512  1.000  0.960  0.980  ['CT', 'RT', 'ART']
2  0.8  1.00  0.09302325581395349  1.000  0.880  0.960  ['CT', 'ART']
2  0.8  1.00  0.12790697674418605  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.13953488372093023  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.1511627906976744  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.18604651162790697  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.2441860465116279  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.2558139534883721  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.29069767441860467  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.5232558139534884  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.5813953488372093  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.7093023255813954  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  1.0850694444444445e-05  0.000  0.010  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  2.170138888888889e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  7.595486111111111e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00011935763888888888  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00013020833333333333  0.000  0.020  0.020  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00021701388888888888  0.040  0.000  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00034722222222222224  0.020  0.020  0.020  ['CT', 'RT', 'ART']
2  1.0  0.00  0.000390625  0.010  0.030  0.040  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0004448784722222222  0.020  0.020  0.020  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0004557291666666667  0.000  0.020  0.040  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00047743055555555554  0.000  0.040  0.040  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0005316840277777777  0.020  0.080  0.060  ['CT', 'RT', 'ART']
2  1.0  0.00  0.00078125  0.000  0.060  0.040  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0009331597222222223  0.040  0.100  0.080  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0010416666666666667  0.000  0.100  0.080  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0016059027777777777  0.040  0.160  0.120  ['CT', 'RT', 'ART']
