STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.6  0.25  0.002471923828125  0.000  0.000  0.020  ['CT', 'RT', 'ART']
2  0.6  0.25  0.00274658203125  0.000  0.010  0.010  ['CT', 'RT', 'ART']
2  0.6  0.25  0.00308990478515625  0.000  0.020  0.020  ['CT', 'RT', 'ART']
2  0.6  0.25  0.0032958984375  0.030  0.020  0.030  ['CT', 'RT', 'ART']
2  0.6  0.25  0.004119873046875  0.025  0.036  0.019  ['CT', 'RT', 'ART']
2  0.6  0.25  0.00494384765625  0.040  0.046  0.044  ['CT', 'RT', 'ART']
2  0.6  0.25  0.0054931640625  0.060  0.060  0.000  ['CT', 'RT', 'ART']
2  0.6  0.25  0.0061798095703125  0.034  0.046  0.037  ['CT', 'RT', 'ART']
2  0.6  0.25  0.00823974609375  0.060  0.069  0.026  ['CT', 'RT', 'ART']
2  0.6  0.25  0.0098876953125  0.080  0.080  0.080  ['CT', 'RT', 'ART']
2  0.6  0.50  0.00791015625  0.080  0.040  0.080  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0087890625  0.100  0.070  0.075  ['CT', 'RT', 'ART']
2  0.6  0.50  0.010546875  0.100  0.020  0.100  ['CT', 'RT', 'ART']
2  0.6  0.50  0.01318359375  0.217  0.065  0.152  ['CT', 'ART']
2  0.6  0.50  0.0158203125  0.140  0.080  0.160  ['CT', 'RT', 'ART']
2  0.6  0.50  0.017578125  0.190  0.190  0.230  ['CT', 'RT', 'ART']
2  0.6  0.50  0.019775390625  0.200  0.100  0.240  ['CT', 'RT', 'ART']
2  0.6  0.50  0.02109375  0.200  0.080  0.180  ['CT', 'RT', 'ART']
2  0.6  0.50  0.0263671875  0.313  0.213  0.305  ['CT', 'RT', 'ART']
2  0.6  0.50  0.031640625  0.316  0.176  0.236  ['CT', 'RT', 'ART']
2  0.6  0.50  0.03515625  0.360  0.260  0.380  ['CT', 'RT', 'ART']
2  0.6  0.50  0.03955078125  0.394  0.357  0.431  ['CT', 'RT', 'ART']
2  0.6  0.50  0.052734375  0.484  0.405  0.480  ['CT', 'RT', 'ART']
2  0.6  0.50  0.06328125  0.480  0.340  0.360  ['CT', 'RT', 'ART']
2  0.6  0.75  0.0225  0.240  0.160  0.180  ['CT', 'RT', 'ART']
2  0.6  0.75  0.025  0.370  0.185  0.225  ['CT', 'ART']
2  0.6  0.75  0.03  0.320  0.200  0.300  ['CT', 'RT', 'ART']
2  0.6  0.75  0.0375  0.440  0.347  0.393  ['CT', 'RT', 'ART']
2  0.6  0.75  0.045  0.520  0.420  0.380  ['CT', 'RT', 'ART']
2  0.6  0.75  0.05  0.360  0.320  0.360  ['CT', 'RT', 'ART']
2  0.6  0.75  0.05625  0.440  0.660  0.440  ['CT', 'RT', 'ART']
2  0.6  0.75  0.06  0.430  0.280  0.370  ['CT', 'RT', 'ART']
2  0.6  0.75  0.075  0.580  0.611  0.657  ['CT', 'RT', 'ART']
2  0.6  0.75  0.09  0.634  0.654  0.610  ['CT', 'RT', 'ART']
2  0.6  0.75  0.1  0.640  0.740  0.720  ['CT', 'RT', 'ART']
2  0.6  0.75  0.1125  0.783  0.849  0.829  ['CT', 'RT', 'ART']
2  0.6  0.75  0.15  0.819  0.894  0.965  ['RT', 'ART']
2  0.6  0.75  0.18  0.880  0.880  0.880  ['CT', 'RT', 'ART']
2  0.6  1.00  0.1  0.800  0.500  0.760  ['CT', 'ART']
2  0.6  1.00  0.1111111111111111  1.000  0.485  0.775  ['CT']
2  0.6  1.00  0.13333333333333333  0.900  0.500  0.680  ['CT']
2  0.6  1.00  0.16666666666666666  0.978  0.723  0.882  ['CT', 'ART']
2  0.6  1.00  0.2  1.000  0.800  0.960  ['CT', 'ART']
2  0.6  1.00  0.2222222222222222  0.980  0.770  0.940  ['CT', 'ART']
2  0.6  1.00  0.25  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.26666666666666666  0.950  0.770  0.930  ['CT', 'ART']
2  0.6  1.00  0.3333333333333333  1.000  0.971  0.993  ['CT', 'ART']
2  0.6  1.00  0.4  1.000  0.944  1.000  ['CT', 'ART']
2  0.6  1.00  0.4444444444444444  1.000  0.900  1.000  ['CT', 'ART']
2  0.6  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.6  1.00  0.8  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.00  7.510185241699219e-06  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.0013580322265625e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.1265277862548828e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.2874603271484375e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.3142824172973633e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.4081597328186035e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.6897916793823242e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  1.971423625946045e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  2.2530555725097656e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  2.5346875190734863e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  2.574920654296875e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  2.816319465637207e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  2.9571354389190674e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  3.0040740966796875e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  3.218650817871094e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  3.3795833587646484e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  3.7550926208496094e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  3.94284725189209e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  4.023313522338867e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  4.2244791984558105e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  4.506111145019531e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  5.0693750381469727e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
2  0.8  0.00  5.632638931274414e-05  0.000  0.000  0.000  ['CT', 'RT', 'ART']
