STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
3  0.8  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.4125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.6  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.020833333333333332  0.320  0.320  0.320  ['CT', 'RT', 'ART']
3  0.8  1.00  0.3541666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.5208333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.6875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.00390625  0.120  0.100  0.100  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0234375  0.620  0.520  0.520  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0390625  0.780  0.720  0.760  ['CT', 'RT', 'ART']
3  1.0  0.00  0.06640625  0.860  0.800  0.980  ['CT', 'ART']
3  1.0  0.00  0.12109375  0.980  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.125  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.12890625  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.25  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.00625  0.140  0.100  0.100  ['CT', 'RT', 'ART']
3  1.0  0.50  0.0375  0.700  0.880  0.900  ['RT', 'ART']
3  1.0  0.50  0.0625  1.000  0.980  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.10625  1.000  0.880  0.960  ['CT', 'ART']
3  1.0  0.50  0.19375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.2  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.20625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.015625  0.420  0.360  0.300  ['CT', 'RT', 'ART']
3  1.0  1.00  0.09375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.15625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.265625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.484375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  0.515625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.4  0.00  0.0625  1.000  0.700  1.000  ['CT', 'ART']
4  0.4  0.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.4  0.50  0.0625  1.000  0.560  0.980  ['CT', 'ART']
4  0.4  0.50  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.4  1.00  0.0625  1.000  0.660  0.920  ['CT', 'ART']
4  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  0.00  0.03125  0.620  0.440  0.600  ['CT', 'RT', 'ART']
4  0.6  0.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  0.50  0.0625  1.000  0.600  0.980  ['CT', 'ART']
4  0.6  0.50  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.6  1.00  0.0625  1.000  0.640  1.000  ['CT', 'ART']
4  0.6  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.0078125  0.460  0.360  0.420  ['CT', 'RT', 'ART']
4  0.8  0.00  0.1328125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.1953125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.25  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.2578125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.00  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.50  0.0125  0.660  0.340  0.580  ['CT', 'ART']
4  0.8  0.50  0.2125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.50  0.3125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.50  0.4  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.50  0.4125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  0.50  0.6  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  0.020833333333333332  0.700  0.560  0.760  ['CT', 'RT', 'ART']
4  0.8  1.00  0.3541666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  0.5208333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  0.6875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  0.8  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.00390625  0.140  0.220  0.200  ['CT', 'RT', 'ART']
4  1.0  0.00  0.0234375  0.860  0.780  0.860  ['CT', 'RT', 'ART']
4  1.0  0.00  0.0390625  1.000  0.880  0.960  ['CT', 'ART']
4  1.0  0.00  0.06640625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.12109375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.12890625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.00  0.25  1.000  1.000  1.000  ['CT', 'RT', 'ART']
4  1.0  0.50  0.00625  0.320  0.200  0.220  ['CT', 'RT', 'ART']
