STRENGTH  PARA  CONS  RATE  CT  RT  ART  FAVOURABLE
2  0.8  0.75  0.234375  0.990  0.960  0.960  ['CT', 'RT', 'ART']
2  0.8  0.75  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  0.75  0.390625  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.11979166666666667  0.920  0.920  0.900  ['CT', 'RT', 'ART']
2  0.8  1.00  0.2222222222222222  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.3333333333333333  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.8  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  0.8  1.00  0.8333333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0004978850483894348  0.020  0.000  0.020  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0019604223780333996  0.060  0.020  0.020  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0021725893020629883  0.000  0.000  0.060  ['CT', 'RT', 'ART']
2  1.0  0.00  0.0026553869247436523  0.020  0.000  0.040  ['CT', 'RT', 'ART']
2  1.0  0.00  0.002987310290336609  0.040  0.020  0.000  ['CT', 'RT', 'ART']
2  1.0  0.00  0.005974620580673218  0.050  0.040  0.090  ['CT', 'RT', 'ART']
2  1.0  0.00  0.008961930871009827  0.080  0.080  0.080  ['CT', 'RT', 'ART']
2  1.0  0.00  0.009559392929077148  0.120  0.080  0.160  ['CT', 'RT', 'ART']
2  1.0  0.25  0.0015735626220703125  0.020  0.000  0.040  ['CT', 'RT', 'ART']
2  1.0  0.25  0.0061959028244018555  0.140  0.060  0.100  ['CT', 'RT', 'ART']
2  1.0  0.25  0.006866455078125  0.200  0.100  0.200  ['CT', 'RT', 'ART']
2  1.0  0.25  0.008392333984375  0.120  0.160  0.160  ['CT', 'RT', 'ART']
2  1.0  0.25  0.009441375732421875  0.200  0.140  0.120  ['CT', 'RT', 'ART']
2  1.0  0.25  0.01888275146484375  0.290  0.230  0.280  ['CT', 'RT', 'ART']
2  1.0  0.25  0.028324127197265625  0.380  0.320  0.420  ['CT', 'RT', 'ART']
2  1.0  0.25  0.03021240234375  0.460  0.380  0.460  ['CT', 'RT', 'ART']
2  1.0  0.50  0.00457763671875  0.040  0.060  0.040  ['CT', 'RT', 'ART']
2  1.0  0.50  0.018024444580078125  0.180  0.140  0.060  ['CT', 'RT', 'ART']
2  1.0  0.50  0.019975142045454544  0.240  0.320  0.360  ['CT', 'RT', 'ART']
2  1.0  0.50  0.0244140625  0.260  0.320  0.400  ['CT', 'RT', 'ART']
2  1.0  0.50  0.0274658203125  0.320  0.300  0.420  ['CT', 'RT', 'ART']
2  1.0  0.50  0.054931640625  0.640  0.590  0.570  ['CT', 'RT', 'ART']
2  1.0  0.50  0.0823974609375  0.780  0.780  0.800  ['CT', 'RT', 'ART']
2  1.0  0.50  0.087890625  0.720  0.700  0.740  ['CT', 'RT', 'ART']
2  1.0  0.75  0.0146484375  0.200  0.080  0.120  ['CT', 'RT', 'ART']
2  1.0  0.75  0.05767822265625  0.760  0.400  0.600  ['CT', 'ART']
2  1.0  0.75  0.06392045454545454  0.580  0.640  0.620  ['CT', 'RT', 'ART']
2  1.0  0.75  0.078125  0.700  0.620  0.720  ['CT', 'RT', 'ART']
2  1.0  0.75  0.087890625  0.740  0.780  0.720  ['CT', 'RT', 'ART']
2  1.0  0.75  0.17578125  0.950  0.890  0.970  ['CT', 'RT', 'ART']
2  1.0  0.75  0.263671875  1.000  0.960  1.000  ['CT', 'RT', 'ART']
2  1.0  0.75  0.28125  0.960  0.900  1.000  ['CT', 'ART']
2  1.0  1.00  0.041666666666666664  0.400  0.380  0.300  ['CT', 'RT', 'ART']
2  1.0  1.00  0.1640625  0.940  0.940  0.980  ['CT', 'RT', 'ART']
2  1.0  1.00  0.18181818181818182  1.000  0.980  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.2222222222222222  0.820  0.940  0.940  ['CT', 'RT', 'ART']
2  1.0  1.00  0.25  1.000  0.980  0.980  ['CT', 'RT', 'ART']
2  1.0  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.75  1.000  1.000  1.000  ['CT', 'RT', 'ART']
2  1.0  1.00  0.8  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.00  0.06591796875  0.900  0.920  1.000  ['CT', 'RT', 'ART']
3  0.4  0.00  0.098876953125  0.980  0.930  0.990  ['CT', 'RT', 'ART']
3  0.4  0.00  0.1318359375  1.000  0.990  1.000  ['CT', 'RT', 'ART']
3  0.4  0.00  0.19775390625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.25  0.1171875  0.980  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.25  0.17578125  1.000  0.990  1.000  ['CT', 'RT', 'ART']
3  0.4  0.25  0.234375  1.000  0.990  1.000  ['CT', 'RT', 'ART']
3  0.4  0.25  0.3515625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.50  0.15625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.50  0.234375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.50  0.3125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.50  0.46875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.75  0.25  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.75  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.75  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  0.75  0.75  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  1.00  0.3333333333333333  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.4  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.00  0.002574920654296875  0.160  0.080  0.080  ['CT', 'RT', 'ART']
3  0.6  0.00  0.0274658203125  0.760  0.780  0.620  ['CT', 'RT', 'ART']
3  0.6  0.00  0.04119873046875  0.870  0.760  0.800  ['CT', 'RT', 'ART']
3  0.6  0.00  0.054931640625  0.940  0.900  0.840  ['CT', 'RT', 'ART']
3  0.6  0.00  0.06591796875  0.980  0.880  0.900  ['CT', 'RT', 'ART']
3  0.6  0.00  0.0823974609375  1.000  0.960  0.920  ['CT', 'RT', 'ART']
3  0.6  0.25  0.00457763671875  0.140  0.160  0.160  ['CT', 'RT', 'ART']
3  0.6  0.25  0.048828125  0.840  0.800  0.740  ['CT', 'RT', 'ART']
3  0.6  0.25  0.0732421875  0.940  0.910  0.930  ['CT', 'RT', 'ART']
3  0.6  0.25  0.09765625  1.000  0.940  0.980  ['CT', 'RT', 'ART']
3  0.6  0.25  0.1171875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.25  0.146484375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.50  0.00732421875  0.240  0.240  0.160  ['CT', 'RT', 'ART']
3  0.6  0.50  0.078125  1.000  0.980  0.920  ['CT', 'RT', 'ART']
3  0.6  0.50  0.1171875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.50  0.15625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.50  0.1875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.50  0.234375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.75  0.01953125  0.480  0.480  0.480  ['CT', 'RT', 'ART']
3  0.6  0.75  0.20833333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.75  0.3125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.75  0.4166666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.75  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  0.75  0.625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.03125  0.900  0.720  0.700  ['CT', 'RT']
3  0.6  1.00  0.3333333333333333  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.6666666666666666  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  0.8  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.6  1.00  1.0  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.00  0.0046846456825733185  0.200  0.160  0.200  ['CT', 'RT', 'ART']
3  0.8  0.00  0.008690357208251953  0.240  0.280  0.140  ['CT', 'RT', 'ART']
3  0.8  0.00  0.01303553581237793  0.460  0.540  0.380  ['CT', 'RT', 'ART']
3  0.8  0.00  0.019553303718566895  0.570  0.520  0.500  ['CT', 'RT', 'ART']
3  0.8  0.00  0.03128528594970703  0.800  0.660  0.680  ['CT', 'RT', 'ART']
3  0.8  0.00  0.032588839530944824  0.720  0.740  0.680  ['CT', 'RT', 'ART']
3  0.8  0.25  0.011104345321655273  0.460  0.300  0.580  ['CT', 'ART']
3  0.8  0.25  0.020599365234375  0.540  0.520  0.600  ['CT', 'RT', 'ART']
3  0.8  0.25  0.0308990478515625  0.760  0.680  0.680  ['CT', 'RT', 'ART']
3  0.8  0.25  0.04634857177734375  0.820  0.900  0.860  ['CT', 'RT', 'ART']
3  0.8  0.25  0.07415771484375  0.980  0.960  0.980  ['CT', 'RT', 'ART']
3  0.8  0.25  0.07724761962890625  0.960  0.960  0.960  ['CT', 'RT', 'ART']
3  0.8  0.50  0.02368927001953125  0.660  0.720  0.640  ['CT', 'RT', 'ART']
3  0.8  0.50  0.0439453125  0.840  0.900  0.920  ['CT', 'RT', 'ART']
3  0.8  0.50  0.06591796875  0.940  0.960  0.960  ['CT', 'RT', 'ART']
3  0.8  0.50  0.098876953125  0.990  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.158203125  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.50  0.164794921875  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.75  0.05615234375  0.940  0.940  0.980  ['CT', 'RT', 'ART']
3  0.8  0.75  0.10416666666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.75  0.15625  0.980  0.980  0.980  ['CT', 'RT', 'ART']
3  0.8  0.75  0.234375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.75  0.375  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  0.75  0.390625  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.11979166666666667  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.2222222222222222  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.3333333333333333  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.5  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.8  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  0.8  1.00  0.8333333333333334  1.000  1.000  1.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0004978850483894348  0.000  0.020  0.000  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0019604223780333996  0.120  0.120  0.040  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0021725893020629883  0.160  0.080  0.100  ['CT', 'RT', 'ART']
3  1.0  0.00  0.0026553869247436523  0.100  0.060  0.100  ['CT', 'RT', 'ART']
3  1.0  0.00  0.002987310290336609  0.160  0.120  0.100  ['CT', 'RT', 'ART']
3  1.0  0.00  0.005974620580673218  0.310  0.270  0.250  ['CT', 'RT', 'ART']
3  1.0  0.00  0.008961930871009827  0.360  0.320  0.320  ['CT', 'RT', 'ART']
3  1.0  0.00  0.009559392929077148  0.420  0.420  0.340  ['CT', 'RT', 'ART']
